,,Ciências da Saúde,Ciências Humanas,Ciências Sociais Aplicadas,Ciências Agrárias,"Lingüística, Letras e Artes",Engenharias,Multidisciplinar,Ciências Exatas e da Terra,Ciências Biológicas
CBIOTEC,2017,[7.5],[7.433333333333334],0.0,0.0,0.0,0.0,0.0,0.0,[8.233333333333334]
CBIOTEC,2018,[9.133333333333333],[8.266666666666666],0.0,0.0,0.0,0.0,[8.9],0.0,"[9.166666666666666, 8.766666666666666]"
CBIOTEC,2019,0.0,[8.766666666666667],0.0,0.0,0.0,0.0,0.0,0.0,[8.466666666666667]
CBIOTEC,2020,0.0,[7.666666666666667],0.0,0.0,0.0,0.0,0.0,0.0,[8.733333333333334]
CTDR,2017,"[8.9, 9.1]",0.0,[8.366666666666665],"[8.299999999999999, 7.766666666666667, 8.933333333333334, 8.966666666666667, 8.4, 8.533333333333333, 8.266666666666666]",0.0,[7.966666666666666],0.0,"[7.166666666666667, 8.4, 9.033333333333333, 8.233333333333333]",0.0
CTDR,2018,"[8.166666666666666, 8.5]",0.0,[9.0],"[8.733333333333334, 9.033333333333333, 8.9, 8.799999999999999, 9.533333333333333, 5.0, 8.466666666666667, 7.7]",0.0,"[7.666666666666667, 8.733333333333333, 9.533333333333333]",[5.066666666666666],[9.066666666666666],0.0
CTDR,2019,[9.733333333333334],0.0,"[8.966666666666667, 9.133333333333333, 9.4, 9.133333333333335]","[9.3, 8.700000000000001, 8.933333333333332, 8.866666666666667, 8.833333333333334, 9.1, 8.299999999999999]",0.0,"[7.800000000000001, 8.466666666666667]","[7.833333333333333, 8.433333333333334]",0.0,0.0
CTDR,2020,0.0,0.0,"[9.133333333333333, 8.966666666666667, 8.6, 8.799999999999999, 8.266666666666667]","[9.799999999999999, 9.0, 9.966666666666667, 9.0, 8.833333333333334, 8.933333333333334, 8.233333333333334]",0.0,"[9.299999999999999, 8.4]","[9.733333333333333, 8.433333333333334, 9.166666666666666, 9.466666666666667]",0.0,0.0
CCHLA,2017,"[8.066666666666666, 8.233333333333333, 8.4, 8.6]","[8.866666666666667, 8.633333333333333, 8.066666666666666, 8.933333333333332, 8.266666666666667, 9.399999999999999, 9.0, 8.833333333333334, 9.433333333333332, 8.433333333333334, 8.233333333333333, 9.1, 9.100000000000001, 8.766666666666667, 7.233333333333333, 7.566666666666666, 8.4, 9.033333333333333, 8.9, 8.466666666666667, 8.933333333333332, 9.2, 9.033333333333333, 7.2]",[9.6],0.0,"[8.066666666666668, 8.1, 9.4, 7.599999999999999, 8.766666666666667, 9.133333333333335, 9.266666666666667, 8.4, 7.866666666666667, 8.033333333333333, 9.766666666666667, 7.8999999999999995, 5.599999999999999, 8.333333333333334, 6.7, 9.4, 8.666666666666666]",0.0,[8.9],0.0,0.0
CCHLA,2018,"[8.933333333333334, 8.299999999999999, 9.533333333333333]","[9.233333333333333, 7.733333333333334, 9.566666666666668, 8.366666666666667, 9.933333333333334, 9.200000000000001, 9.033333333333333, 9.6, 8.4, 8.733333333333333, 9.1, 9.233333333333333, 9.0, 8.766666666666667, 8.733333333333334, 8.633333333333335, 8.733333333333333, 8.999999999999998, 8.799999999999999, 8.7, 9.166666666666666, 9.1, 9.266666666666667, 9.433333333333332, 7.866666666666666, 9.566666666666666, 7.766666666666667]","[9.166666666666666, 8.233333333333333, 9.299999999999999]",0.0,"[8.833333333333334, 8.966666666666667, 9.533333333333333, 9.833333333333334, 9.166666666666666, 9.066666666666668, 8.8, 9.233333333333333, 9.466666666666667, 8.566666666666668, 8.266666666666667, 8.933333333333334, 8.166666666666666, 9.133333333333333, 8.966666666666667, 9.433333333333334, 8.799999999999999, 9.1, 9.1]",0.0,"[8.9, 9.133333333333333]",0.0,0.0
CCHLA,2019,"[9.766666666666667, 9.233333333333333, 9.5, 9.700000000000001, 9.233333333333333, 9.533333333333333]","[9.333333333333334, 8.766666666666666, 9.9, 9.466666666666667, 7.933333333333333, 8.433333333333332, 9.066666666666668, 9.066666666666668, 9.200000000000001, 9.200000000000001, 8.6, 8.799999999999999, 9.3, 8.966666666666667, 8.966666666666667, 8.533333333333333, 9.733333333333334, 8.700000000000001, 8.933333333333334, 8.966666666666667, 8.566666666666666, 9.233333333333333, 8.533333333333333, 9.666666666666666]","[9.266666666666666, 9.466666666666667, 9.033333333333333]",0.0,"[8.633333333333333, 9.700000000000001, 8.366666666666667, 9.4, 9.700000000000001, 9.333333333333334, 9.1, 8.200000000000001, 8.466666666666667, 9.266666666666666, 8.266666666666666, 9.200000000000001, 9.066666666666666, 8.833333333333334, 9.200000000000001, 8.299999999999999, 8.999999999999998, 8.866666666666667]",0.0,"[8.633333333333333, 9.566666666666668, 9.700000000000001, 9.666666666666666, 9.933333333333334, 9.866666666666667]",0.0,0.0
